"Country or Area","Year","Value"
"Finland","1995","5902.92964095827"
"Finland","1994","5877.72905742024"
"Finland","1993","5767.32312981769"
"Finland","1992","5601.03356554462"
"Finland","1991","6030.81286363748"
"Finland","1990","6361.59291242368"
"France","2020","36430.9924728327"
"France","2019","38211.6304709152"
"France","2018","38634.8194586234"
"France","2017","40298.6670245435"
"France","2016","38924.9651354233"
"France","2015","40033.4945015132"
"France","2014","40202.7792270106"
"France","2013","39066.2495863815"
"France","2012","39300.6026404976"
"France","2011","39016.7069253656"
"France","2010","40616.2526805491"
"France","2009","42792.8769111012"
"France","2008","44373.4623341184"
"France","2007","45113.1803849249"
"France","2006","45052.946093452"
"France","2005","46451.4899201958"
"France","2004","47353.1772475498"
"France","2003","49009.1950545801"
"France","2002","50791.4414314775"
"France","2001","53523.4825371136"
"France","2000","53832.1798253786"
"France","1999","54882.9050326819"
"France","1998","60937.1532706293"
"France","1997","67552.8122334313"
"France","1996","67618.6618645146"
"France","1995","66091.0969156919"
"France","1994","64532.4014502702"
"France","1993","64413.3103710546"
"France","1992","65161.0854486055"
"France","1991","65470.2379443889"
"France","1990","64879.380353621"
"Germany","2020","28182.136974542"
"Germany","2019","28948.4575989187"
"Germany","2018","29715.7917285275"
"Germany","2017","31027.7236002679"
"Germany","2016","31521.1377491511"
"Germany","2015","31654.8740317553"
"Germany","2014","31704.6887705913"
"Germany","2013","31171.6762406726"
"Germany","2012","31001.076402788"
"Germany","2011","30854.9638914305"
"Germany","2010","30841.3783733238"
"Germany","2009","38817.1740482741"
"Germany","2008","38418.2097689745"
"Germany","2007","39708.5908764541"
"Germany","2006","36769.1492900308"
"Germany","2005","37521.8823422062"
"Germany","2004","39154.1998270107"
"Germany","2003","37496.389607498"
"Germany","2002","37767.336934583"
"Germany","2001","38529.7244556884"
"Germany","2000","36482.68984067"
"Germany","1999","37053.5252685176"
"Germany","1998","40977.6954399967"
"Germany","1997","53826.5095767283"
"Germany","1996","56761.6912099926"
"Germany","1995","55250.3798558318"
"Germany","1994","57078.6474766016"
"Germany","1993","55169.1946502693"
"Germany","1992","58034.2865365522"
"Germany","1991","56342.4123614157"
"Germany","1990","57989.3773968413"
"Greece","2020","4369.98463586818"
"Greece","2019","4353.09037004922"
"Greece","2018","4361.14798823772"
"Greece","2017","4460.59576225127"
"Greece","2016","4385.85563067232"
"Greece","2015","4331.10012158378"
"Greece","2014","4404.62448396288"
"Greece","2013","4613.42226282644"
"Greece","2012","4796.83699386811"
"Greece","2011","5223.90945232952"
"Greece","2010","5471.60105255811"
"Greece","2009","5271.06075957637"
"Greece","2008","5635.1882569634"
"Greece","2007","5881.90705101301"
"Greece","2006","5773.54864689227"
"Greece","2005","5942.35420146705"
"Greece","2004","6117.41555576315"
"Greece","2003","6112.72561012341"
"Greece","2002","6182.2782585232"
"Greece","2001","6231.8506378451"
"Greece","2000","6368.8340620712"
"Greece","1999","6584.448267911"
"Greece","1998","6632.91855579596"
"Greece","1997","6714.42636621445"
"Greece","1996","6874.47865180784"
"Greece","1995","6705.25626604791"
"Greece","1994","6494.27679687722"
"Greece","1993","6625.65441152108"
"Greece","1992","7179.66775841197"
"Greece","1991","7344.18171458288"
"Greece","1990","7481.07633613499"
"Hungary","2020","5012.72719826202"
"Hungary","2019","4849.90329037119"
"Hungary","2018","4847.50127868415"
"Hungary","2017","4780.85833227319"
"Hungary","2016","4781.19486058517"
"Hungary","2015","4515.06458027238"
"Hungary","2014","4413.96063806663"
"Hungary","2013","4184.40723435126"
"Hungary","2012","3841.0844005565"
"Hungary","2011","3907.01245298243"
"Hungary","2010","3713.92636574796"
"Hungary","2009","3788.49610834727"
"Hungary","2008","4083.84133501319"
"Hungary","2007","4786.11756731514"
"Hungary","2006","5334.52886826085"
"Hungary","2005","5608.34621932335"
"Hungary","2004","5879.32854457969"
"Hungary","2003","5087.44616700672"
"Hungary","2002","5166.64265432498"
"Hungary","2001","5854.34770676785"
"Hungary","2000","5404.67081537632"
"Hungary","1999","5065.43392287042"
"Hungary","1998","5237.14787025506"
"Hungary","1997","5329.06664443153"
"Hungary","1996","5332.35646457086"
"Hungary","1995","4749.54460346456"
"Hungary","1994","5580.93589797344"
"Hungary","1993","4627.72594531977"
"Hungary","1992","4443.52191642196"
"Hungary","1991","5697.6633403925"
"Hungary","1990","8377.4924005897"
"Iceland","2020","294.689063783069"
"Iceland","2019","294.535865604511"
"Iceland","2018","306.599725746164"
"Iceland","2017","321.44768910234"
"Iceland","2016","310.512020365866"
"Iceland","2015","312.273728739233"
"Iceland","2014","327.561030725901"
"Iceland","2013","302.351113381514"
"Iceland","2012","308.519527330629"
"Iceland","2011","301.87468079691"
"Iceland","2010","305.139508472431"
"Iceland","2009","316.469074585704"
"Iceland","2008","340.055615922556"
"Iceland","2007","333.156225757569"
"Iceland","2006","320.614918509305"
"Iceland","2005","310.616639964644"
"Iceland","2004","308.613516583968"
"Iceland","2003","306.969678504089"
"Iceland","2002","312.666329422502"
"Iceland","2001","337.581242402058"
"Iceland","2000","342.288193686459"
"Iceland","1999","362.875665985762"
"Iceland","1998","353.922165756497"
"Iceland","1997","353.05282800878"
"Iceland","1996","358.95381168142"
"Iceland","1995","342.877180327499"
"Iceland","1994","348.197509918721"
"Iceland","1993","342.441683197112"
"Iceland","1992","333.868955073648"
"Iceland","1991","348.605513899101"
"Iceland","1990","356.121232219382"
"Ireland","2020","6868.23427982988"
"Ireland","2019","6867.21576870979"
"Ireland","2018","7262.92054889009"
"Ireland","2017","6915.0131500716"
"Ireland","2016","6579.69300478785"
